make,model,version,fuel,year,kms,power,shift,price
Opel,Crossland,1.2 GAS 110 GS Line 5p S/S,Gasolina,2022,5.0,110.0,manual,22900
Opel,Crossland,1.2 81kW (110CV) GS Line,Gasolina,2022,24847.0,110.0,manual,19990
Opel,Crossland,1.5D 88kW (120CV) Business Elegance Auto,Diésel,2021,41356.0,120.0,automatic,18590
Opel,Crossland,GS-Line 1.2 GAS MT6 S/S 110cv,Gasolina,2022,11.0,110.0,manual,22700
Opel,Crossland,1.2 GS LINE 110 CV 5P,Gasolina,2021,51390.0,110.0,manual,18200
Opel,Crossland,1.2 81KW EDITION 110 CV 5P,Gasolina,2021,30536.0,110.0,manual,17100
Opel,Crossland,1.2 GAS MT6 S/S 130cv Business Elegance,Gasolina,2022,10.0,130.0,manual,23800
Opel,Crossland,GS LINE 1.2 130 CV 5P,Gasolina,2022,16.0,130.0,manual,22975
Opel,Crossland,1.2 83CV INNOVATION 4X2,Gasolina,2019,40816.0,83.0,manual,13490
Opel,Crossland,1.2 61kW (82CV) Crossland,Gasolina,2021,34500.0,83.0,manual,14490
Opel,Combo,1.5 TD 75kW (100CV) S/S Selective L,Diésel,2019,44084.0,100.0,manual,16990
Opel,Combo,LIFE EDITION PLUS 1.5 TD 100CV 5P 7 PL.,Diésel,2021,51872.0,102.0,manual,25990
Opel,Combo,1.5 TD 75kW (100CV) S/S Selective XL,Diésel,2018,37100.0,100.0,manual,10490
Opel,Combo,1.3CDTI 95CV TOUR EXPRESSION 5P,Diésel,2018,134752.0,95.0,manual,11990
Opel,Combo,1.5 TD 75kW (100CV) S/S Expression L,Diésel,2019,105772.0,100.0,manual,16490
Opel,Combo,1.5 TD 75kW (100CV) S/S L Edition Plus,Diésel,2021,51087.0,102.0,manual,21900
Opel,Movano,Furgón L3H2 3.5T 2.2 BlueHDi 103kW Base,Diésel,2022,2000.0,140.0,manual,29900
Opel,Movano,Furgón 3500 2.3 CDTi 170 L2H2 4p S/S,Diésel,2019,188000.0,170.0,automatic,19900
Opel,Movano,2.3 DCI FURGON L3 H2 170,Diésel,2019,99995.0,170.0,manual,18700
Opel,Movano,2.3CDTi 130cv L4H2 3.5t,Diésel,2018,85000.0,130.0,manual,26980
Opel,Movano,Furgón 3500 2.3 CDTi 110 L1H2 4p,Diésel,2015,149500.0,110.0,manual,17900
Opel,Movano,2.3 CDTI 130CV L3 H2 3.5t,Diésel,2019,128000.0,130.0,manual,24450
Opel,Movano,2.3 CDTI 96kW (130CV) L2 H2 F 3.5t,Diésel,2018,130075.0,130.0,manual,17355
Opel,Cabrio,1.4 Turbo SANDS Excellence 103 kW (140 CV),Gasolina,2016,98017.0,140.0,manual,16618
Opel,Cabrio,1.4 Turbo SANDS Excellence 103 kW (140 CV),Gasolina,2017,51441.0,140.0,manual,16963
Opel,Cabrio,1.4 Turbo SANDS Excellence 103 kW (140 CV),Gasolina,2015,58444.0,140.0,manual,15180
Opel,Cabrio,1.4 Turbo SANDS Excellence 103 kW (140 CV),Gasolina,2015,62703.0,140.0,manual,15730
Opel,Vivaro,1.6 CDTI S/S 107kW L1 2.7t Life-7,Diésel,2018,83477.0,145.0,manual,20990
Opel,Vivaro,Furgon 1.5 Diésel L Incrementada Select 75 kW (102 CV),Diésel,2021,50.0,102.0,manual,25900
Opel,Vivaro,1.6 CDTI 115 CV L1 2.7t Combi-6,Diésel,2016,74100.0,115.0,manual,20790
Opel,Vivaro,2.0 Diésel 107kW (145CV) L Std Express,Diésel,2021,13909.0,145.0,manual,35500
Opel,Crossland X,1.2 60kW (81CV) Edition,Gasolina,2019,25500.0,81.0,manual,12490
Opel,Crossland X,1.2 110 Design Line 5p S/S,Gasolina,2018,17000.0,110.0,manual,15500
Opel,Crossland X,"CROSSLAND 1.2 GASOLINA 130 CV , MODELO INNOVATION",Gasolina,2019,60000.0,130.0,manual,14995
Opel,Crossland X,CROSSLAND X 1.2 GASOLINA 130 CV MODELO INNOVATION,Gasolina,2019,65000.0,130.0,manual,14995
